week,النص الوظيفي,النص المكمل,النص الشعري,التعبير الشفهي,التراكيب,الصرف والتحويل,الإملاء,التعبير الكتابي,تطبيقات كتابية
1,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي,التقويم التشخيصي
2,أبر والدي,الطفل والعصفور,يا وطني,ماذا....يا...؟,الجملة المفيدة,أقسام الكلمة: إسم، فعل، حرف,ال المسبوقة بالباء واللام,أحب والدي,تطبيقات كتابية
3,المغرب وطني,ثمرة المعاملة الطيبة,يا وطني,ما....يا...؟,الجملة المفيدة: علامات الترقيم,أزمنة الفعل: ماض، مضارع،أمر,ال المسبوقة بالباء واللام (تطبيق),أحب وطني,تطبيقات كتابية
4,أساعد غيري,كن رحيما,يا وطني,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
5,الأسرة المكافحة,صندوق العروسة,شهادة النجاح,كان ...حتى....,الجملة الفعلية,"نفي الماضي ب""ما"" ",دخول الباء أواللام على المبدوء باللام,العادات,تطبيقات كتابية
6,فنان ماهر,الدجاجة النشيطة,شهادة النجاح,كان....وأنا.....,الجملة الفعلية : فعل وفاعل,"نفي المضارع ب""لم""",دخول الباء أواللام على المبدوء باللام (تطبيق),الجد والاجتهاد,تطبيقات كتابية
7,الحمامة والنملة,مشروع مفيد,شهادة النجاح,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
8,أحسب معي,أحسب معي,أحسب معي,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام
9,أحسب معي,أحسب معي,أحسب معي,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية
10,محبة وتسامح,من حقنا اللعب,كن صديقي,أ...؟ كلا ولكن .....,الجملة الإسمية,الإسم المفرد والمثنى والجمع,تنوين النصب,حقنا في الرعاية,تطبيقات كتابية
11,فضل المدرسة,هيا إلى المدرسة,كن صديقي,لو....ل.....,المبتدأ والخبر,الإسم النكرة والمعرف بأل,تنوين النصب (تطبيق),حماية الطفل,تطبيقات كتابية
12,خديجة تتعلم,انتخاب ممثل القسم,كن صديقي,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
13,صنعت طائرة,اختراع الطائرة,الطيارة,....حتى لا.....,الفاعل ظاهرا وضميرا,الفاعل ضميرا متصلا,التاء المربوطة والمبسوطة,في المطار,تطبيقات كتابية
14,الشباك العجيب,عامل المستقبل,الطيارة,كنت.....وأنا...,المفعول به ظاهرا وضميرا,المفعول به ضميرا متصلا,التاء المربوطة والمبسوطة (تطبيق),حوار مع السيارة,تطبيقات كتابية
15,مرض عماد,ألعب بحذر,الطيارة,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
16,المهندس الصغير,المهندس الصغير,المهندس الصغير,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام
17,المهندس الصغير,المهندس الصغير,المهندس الصغير,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية
18,الممرضة,التعاونية الناجحة,مهن مفيدة,كم هي …!,الجار والمجرور,الفعل السالم,الهمزة في آخر الكلمة,مع الممرضة,تطبيقات كتابية
19,الإسكاف الطموح,ساعي البريد,مهن مفيدة,...أما .......ف...,النعت,الفعل المضعف,الهمزة في آخر الكلمة (تطبيق),عند الإسكاف,تطبيقات كتابية
20,الشرطي في خدمتنا,زيارة للجماعة المحلية,مهن مفيدة,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
21,أطفئ النور ونم,الفواكه والصحة,الكرة,لا ينبغي أن ....,العطف بالواو وثم,الفعل المهموز,الهمزة المتوسطة على الألف,الحماية الصحية,تطبيقات كتابية
22,الفوز الحقيقي,هل أصابك ضرر,الكرة,وإن .... هل هذا...؟,الظرف (بعض الظروف),الفعل المثال,الهمزة المتوسطة على الألف (تطبيق),رياضتي المفضلة,تطبيقات كتابية
23,الطعام النظيف,غذاء المريض,الكرة,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
24,نتهيأ للإفطار,نتهيأ للإفطار,نتهيأ للإفطار,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام
25,نتهيأ للإفطار,نتهيأ للإفطار,نتهيأ للإفطار,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية
26,حكاية الفصول الأربعة,أحافظ على نظافة مدرستي,إني الماء,ماهي إلا......,الجملة الإسمية مع بعض النواسخ الفعلية,الفعل الأجوف,الهمزة المتوسطة على الواو,أحافظ على الماء,تطبيقات كتابية
27,في الهواء الطلق,الدعسوقة,إني الماء,أليس.....؟ بلى....,الجملة الإسمية مع بعض النواسخ الحرفية,الفعل الناقص,الهمزة المتوسطة على الواو (تطبيق),أحمي بيئتي,تطبيقات كتابية
28,لا أضيع الماء,صديقتي البيئة,إني الماء,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
29,رجوع من السفر,رحلة إلى الشاطئ,حزورة,هاهو....../ هاهي.....,نصب المضارع ب أن ، لن ,الفعل الصحيح : تطبيقات,الهمزة المتوسطة على الياء,وداع في محطة القطار,تطبيقات كتابية
30,في المخيم,حكاية سندباد,حزورة,لما....،.......,جزم المضارع ب لم ، لا,الفغل المعتل:  تطبيقات,الهمزة المتوسطة على الياء (تطبيق),وصف رحلة,تطبيقات كتابية
31,أتسلى بألعابي,جزيرتي الملونة,حزورة,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم,تقويم ودعم
32,إلى بلاد الإسكيمو,إلى بلاد الإسكيمو,إلى بلاد الإسكيمو,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام,دعم عام
33,إلى بلاد الإسكيمو,إلى بلاد الإسكيمو,إلى بلاد الإسكيمو,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية,دعم خاص و أنشطة موازية
34,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية,إجراءات آخر السنة الدراسية
35,*****,*****,*****,*****,*****,*****,*****,*****,*****
